currency,pathway,quarter,p05,p10,p25,p50,p75,p90,p95
USD,demonstration,2034Q1,44.23623662093792,46.17311126795808,49.19905586082419,52.468350260206435,55.778145913109014,58.72871675211086,60.48676149978217
USD,demonstration,2034Q2,43.97994081041252,45.84457455295612,48.95968709836009,52.28351946494831,55.67430555428415,58.6941227217775,60.52985801173043
USD,demonstration,2034Q3,43.59846990032763,45.50460139330446,48.723652604620234,52.145706682194195,55.59326965266499,58.6823378133076,60.605762791341185
USD,demonstration,2034Q4,43.31188564419298,45.174862517742156,48.4934208513337,51.94640480679239,55.48911261707481,58.64320234661454,60.51372868115247
USD,demonstration,2035Q1,43.03427695246952,44.83466513166332,48.24359529494164,51.767869743918084,55.38337475357322,58.688201055581246,60.59712001806326
USD,demonstration,2035Q2,42.721921985648905,44.62681513700172,48.03045943300448,51.63025272543461,55.300380749781915,58.62891890189674,60.505985870055326
USD,demonstration,2035Q3,42.42325899334862,44.364449836663674,47.78813782599932,51.49376860449649,55.207175532284246,58.56055263516011,60.47902551472185
USD,demonstration,2035Q4,42.09083310984034,44.02691079214701,47.473020313155075,51.2965553684636,55.07931920193865,58.60519288922999,60.58903364420107
CNY,accretion,2026Q2,1.826353815468681,1.8747850792180343,1.944520018678474,2.0102029199905807,2.0720061286169638,2.1479904367883265,2.214619655026131
CNY,accretion,2026Q3,1.7735037042201822,1.8306377037462311,1.926152720716269,2.034136972532,2.140625540048255,2.2668883626102763,2.373541557071329
CNY,accretion,2026Q4,1.7195543503527824,1.7936035507361874,1.9192014143153686,2.0615801696876286,2.210037848739428,2.3678007566532355,2.4929442885453375
CNY,accretion,2027Q1,1.6776066262410534,1.7592906189060487,1.916889823713291,2.0888823488905865,2.2706667620738,2.463729034198481,2.5921041017117754
CNY,accretion,2027Q2,1.6279383694826055,1.7358784532053242,1.911964443633348,2.120798856909272,2.332241955656583,2.5515124466606802,2.6875661678291496
CNY,accretion,2027Q3,1.5867997275282186,1.708264319401631,1.9140241563080191,2.152228711000681,2.393577264433159,2.63109574765861,2.7848105746728353
CNY,accretion,2027Q4,1.5477723549541798,1.6821147643579535,1.9136548967506515,2.1800734603939733,2.4575654119570736,2.707326529627898,2.8860943045205487
CNY,accretion,2028Q1,1.5092060621593588,1.6585521100515817,1.917597644447478,2.214623258177406,2.5133696798627203,2.7989575596427185,2.9768613764453637
CNY,accretion,2028Q2,1.466851227853993,1.6339093313100466,1.9165813737021298,2.2448883039471283,2.5756555722431895,2.879993212438414,3.080936818831458
CNY,accretion,2028Q3,1.4261356742866502,1.6070575985700029,1.9150826765921636,2.2814493025114517,2.6321553349271314,2.9602947695916515,3.1822886851956644
