pathway,block,year,p05,p10,p25,p50,p75,p90,p95
demonstration,China,2028,332247.3,348872.8,373597.6,389940.4,417687.5,437682.1,452518.3
demonstration,Rest of world,2028,355524.7,373594.9,401648.1,435972.4,468448.3,501185.8,522049.0
demonstration,Indo-Pacific allies,2029,178447.5,181370.0,186402.4,191929.0,197827.1,203491.3,207145.7
demonstration,NATO Europe,2029,528778.9,546155.1,577797.6,618592.6,665495.1,714674.8,748238.7
demonstration,Hedging middle powers,2029,230422.6,241282.9,262851.2,288658.4,317062.7,347941.9,371466.3
demonstration,United States,2029,747992.4,782666.8,845455.1,922764.7,1024597.9,1188487.3,1453052.0
demonstration,China,2029,343784.6,359887.5,389572.8,412148.4,443370.0,470006.9,490087.6
demonstration,Rest of world,2029,365824.7,386085.8,418947.5,460248.8,500775.2,542173.4,568649.8
demonstration,Indo-Pacific allies,2030,180432.9,183776.2,189642.6,196201.9,203020.5,209847.9,214206.3
demonstration,NATO Europe,2030,542369.1,563448.2,604007.0,653476.8,707358.8,766081.6,808213.3
demonstration,Hedging middle powers,2030,237551.2,251455.6,276808.3,307833.4,341845.3,379400.6,405723.3
demonstration,United States,2030,727269.8,766932.6,838295.9,926958.8,1043732.7,1260802.8,1513741.3
demonstration,China,2030,355053.1,374152.9,406094.2,435017.4,470756.3,505430.3,528014.9
demonstration,Rest of world,2030,376521.0,398746.6,438245.0,485349.4,534365.0,582057.4,612944.7
demonstration,Indo-Pacific allies,2031,182616.4,186779.6,193275.3,200679.9,208394.5,216220.3,221247.5
demonstration,NATO Europe,2031,571964.7,595551.2,638460.8,690409.0,750292.1,817995.4,862169.1
demonstration,Hedging middle powers,2031,251250.5,266573.9,294318.3,328994.6,368158.8,412115.7,443003.1
demonstration,United States,2031,708713.3,752500.9,829240.9,927141.5,1067445.6,1307590.7,1556379.8
demonstration,China,2031,367341.4,388414.5,423671.8,459508.7,499842.6,540727.5,568169.0
demonstration,Rest of world,2031,389280.6,414402.1,458207.5,511531.8,569402.1,626875.8,662937.7
demonstration,Indo-Pacific allies,2032,185066.4,189578.6,196830.8,205048.9,213855.6,222397.9,228044.5
demonstration,NATO Europe,2032,587986.7,614583.8,662008.2,719323.9,787429.3,859457.2,909697.3
demonstration,Hedging middle powers,2032,259714.7,276817.3,308680.8,346820.6,390829.5,439659.9,474501.4
demonstration,United States,2032,695637.5,739344.4,819163.5,929542.8,1085908.4,1364575.1,1602421.0
demonstration,China,2032,380806.1,403386.1,443086.9,484847.5,530114.0,576090.1,607304.3
demonstration,Rest of world,2032,401938.5,430325.9,480763.3,539078.7,606062.2,670573.6,713051.3
demonstration,Indo-Pacific allies,2033,187911.2,192880.2,200492.6,209537.6,219374.4,228906.5,234686.9
demonstration,NATO Europe,2033,595300.6,623616.8,676136.5,741696.7,816449.2,898512.2,952752.7
demonstration,Hedging middle powers,2033,264553.1,282624.7,317087.5,359693.5,410455.6,466412.7,508037.3
demonstration,United States,2033,680919.2,725342.0,815752.3,935425.2,1105194.7,1415993.1,1654488.1
demonstration,China,2033,396178.1,420370.2,463832.7,511049.4,562240.6,614294.9,648300.0
demonstration,Rest of world,2033,417201.2,447495.8,501200.5,568333.5,644052.2,721045.9,769538.9
demonstration,Indo-Pacific allies,2034,190745.7,195843.8,204289.9,214360.4,225204.8,235436.2,241926.8
