ally,year,pct_gdp,estimate,source
France,2025,2.04,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2026,2.22,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2014,1.16,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2015,1.16,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2016,1.18,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2017,1.21,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2018,1.23,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2019,1.32,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2020,1.49,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2021,1.43,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2022,1.46,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2023,1.6,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2024,2.0,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2025,2.22,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Germany,2026,2.69,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2014,2.24,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2015,2.32,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2016,2.4,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2017,2.37,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2018,2.52,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2019,2.42,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2020,2.87,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2021,3.66,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2022,3.89,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2023,2.77,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2024,2.77,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2025,2.79,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Greece,2026,3.65,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2014,0.86,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2015,0.9,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2016,1.0,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2017,1.19,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2018,1.0,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2019,1.33,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2020,1.75,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2021,1.32,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2022,1.84,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2023,2.0,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2024,2.21,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
