ccy,measure,quarter,value,date,source
GBP,share_pct,2023-Q2,4.69672155380249,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,claims_usd_m,2023-Q2,658985.53141978,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,share_pct,2023-Q2,5.47859287261963,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,claims_usd_m,2023-Q2,487402.367705143,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,share_pct,2023-Q2,4.05210590362549,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,claims_usd_m,2023-Q2,12028372.4127298,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,share_pct,2023-Q2,100.0,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,claims_usd_m,2023-Q2,7195140.00696309,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,share_pct,2023-Q2,59.8180694580078,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,claims_usd_m,2023-Q3,232664.435844984,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,share_pct,2023-Q3,1.96841478347778,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,claims_usd_m,2023-Q3,286032.161611438,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,share_pct,2023-Q3,2.41992259025574,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,claims_usd_m,2023-Q3,22371.6531795593,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,share_pct,2023-Q3,0.18927127122879,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,claims_usd_m,2023-Q3,287832.200658413,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,share_pct,2023-Q3,2.43515157699585,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,claims_usd_m,2023-Q3,2234019.99392079,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,share_pct,2023-Q3,18.9005165100098,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,claims_usd_m,2023-Q3,571024.485634156,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,share_pct,2023-Q3,4.83104801177979,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,claims_usd_m,2023-Q3,616554.661278993,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,share_pct,2023-Q3,5.21624755859375,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,claims_usd_m,2023-Q3,514120.098275274,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,share_pct,2023-Q3,4.34961891174316,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,claims_usd_m,2023-Q3,11819888.460196,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,share_pct,2023-Q3,100.0,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,claims_usd_m,2023-Q3,7055268.76979238,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,share_pct,2023-Q3,59.6898078918457,2023-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,claims_usd_m,2023-Q4,257087.165004811,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,share_pct,2023-Q4,2.08758854866028,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,claims_usd_m,2023-Q4,309452.815259973,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
