quarter,ccy,flow_share_pct,source
2024-Q1,EUR,-50.448298232317136,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2024-Q3,EUR,14.472011974629426,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2025-Q1,EUR,16.751832735429325,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2025-Q2,EUR,26.524093912790935,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2025-Q3,EUR,25.7186728364341,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2025-Q4,EUR,4.075284821147198,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q1,CNY,1.5104004685899186,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q2,CNY,0.7457969594936303,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q3,CNY,2.3713954731241755,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q4,CNY,5.574116678747888,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2018-Q1,CNY,8.913963252773005,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2018-Q4,CNY,21.627023447229373,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2019-Q1,CNY,1.7321045882274098,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2019-Q2,CNY,0.7916861049028625,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2019-Q4,CNY,1.7809163713314262,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2020-Q2,CNY,2.0822924743608464,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2020-Q3,CNY,3.624860208095013,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2020-Q4,CNY,2.902149584800859,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2021-Q2,CNY,4.802298136514086,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2021-Q3,CNY,17.039355821527927,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2021-Q4,CNY,11.13444229597736,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2022-Q4,CNY,0.2979244497479851,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2023-Q1,CNY,4.1907521912689525,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2023-Q2,CNY,-27.702969308438718,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2023-Q4,CNY,0.0160486585600547,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2024-Q1,CNY,-34.720843572580165,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2024-Q3,CNY,1.662644983386723,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2025-Q1,CNY,-2.677108674380434,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2025-Q2,CNY,1.1759927651624726,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2025-Q3,CNY,-1.16702302889485,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2025-Q4,CNY,1.4506802779040375,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
1999-Q2,JPY,-4.517360150840883,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
1999-Q3,JPY,10.938364811325517,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
1999-Q4,JPY,4.699444471540068,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q1,JPY,2.3955293563212585,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q2,JPY,20.28736100762138,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q3,JPY,12.660808020211073,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q4,JPY,-3.9422175657892327,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
